Scenario;Desired Given DNF;Shared Given DNF;Penality Given;Global Similarity Given;Final Similarity Given;Desired When DNF;Shared When DNF;Penality When;Global Similarity When;Final Similarity When;Desired Then DNF;Shared Then DNF;Penality Then;Global Similarity Then;Final Similarity Then;Scenario Similarity;Action
Candidate_1;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0,0;1,0;1,0;1,0;behavior_1
Candidate_23;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height >= 25 AND source_distance == 0;0,0;0,966665;0,966665;0,9888883333333333;behavior_23
Candidate_34;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height >= 50 AND source_distance == 0;0,0;0,857145;0,857145;0,9523816666666667;behavior_34
Candidate_122;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height <= 100 AND source_distance == 0;0,0;0,85;0,85;0,9500000000000001;behavior_122
Candidate_12;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height >= 0 AND source_distance == 0;0,0;0,85;0,85;0,9500000000000001;behavior_12
Candidate_111;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height <= 75 AND source_distance == 0;0,0;0,725;0,725;0,9083333333333333;behavior_111
Candidate_45;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height >= 75 AND source_distance == 0;0,0;0,67857;0,67857;0,8928566666666667;behavior_45
Candidate_100;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height <= 50 AND source_distance == 0;0,0;0,6;0,6;0,8666666666666667;behavior_100
Candidate_8;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height >= 30 AND source_distance <= 25;0,0;0,52;0,52;0,84;behavior_8
Candidate_9;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height >= 30 AND source_distance <= 50;0,0;0,51;0,51;0,8366666666666666;behavior_9
Candidate_10;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height >= 30 AND source_distance <= 75;0,0;0,506665;0,506665;0,8355549999999999;behavior_10
Candidate_11;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height >= 30 AND source_distance <= 100;0,0;0,505;0,505;0,835;behavior_11
Candidate_2;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height >= 30 AND source_distance >= 0;0,0;0,505;0,505;0,835;behavior_2
Candidate_89;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height <= 25 AND source_distance == 0;0,0;0,5;0,5;0,8333333333333334;behavior_89
Candidate_78;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height <= 0 AND source_distance == 0;0,0;0,5;0,5;0,8333333333333334;behavior_78
Candidate_56;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height >= 100 AND source_distance == 0;0,0;0,5;0,5;0,8333333333333334;behavior_56
Candidate_67;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height <= 30 AND source_distance == 0;0,0;0,5;0,5;0,8333333333333334;behavior_67
Candidate_3;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height >= 30 AND source_distance >= 25;0,0;0,5;0,5;0,8333333333333334;behavior_3
Candidate_7;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height >= 30 AND source_distance <= 0;0,0;0,5;0,5;0,8333333333333334;behavior_7
Candidate_6;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height >= 30 AND source_distance >= 100;0,0;0,5;0,5;0,8333333333333334;behavior_6
Candidate_5;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height >= 30 AND source_distance >= 75;0,0;0,5;0,5;0,8333333333333334;behavior_5
Candidate_4;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height >= 30 AND source_distance >= 50;0,0;0,5;0,5;0,8333333333333334;behavior_4
Candidate_30;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height >= 25 AND source_distance <= 25;0,0;0,486665;0,486665;0,8288883333333333;behavior_30
Candidate_31;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height >= 25 AND source_distance <= 50;0,0;0,476665;0,476665;0,825555;behavior_31
Candidate_32;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height >= 25 AND source_distance <= 75;0,0;0,47333;0,47333;0,8244433333333333;behavior_32
Candidate_33;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height >= 25 AND source_distance <= 100;0,0;0,471665;0,471665;0,8238883333333332;behavior_33
Candidate_24;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height >= 25 AND source_distance >= 0;0,0;0,471665;0,471665;0,8238883333333332;behavior_24
Candidate_25;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height >= 25 AND source_distance >= 25;0,0;0,466665;0,466665;0,8222216666666666;behavior_25
Candidate_26;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height >= 25 AND source_distance >= 50;0,0;0,466665;0,466665;0,8222216666666666;behavior_26
Candidate_27;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height >= 25 AND source_distance >= 75;0,0;0,466665;0,466665;0,8222216666666666;behavior_27
Candidate_28;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height >= 25 AND source_distance >= 100;0,0;0,466665;0,466665;0,8222216666666666;behavior_28
Candidate_29;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height >= 25 AND source_distance <= 0;0,0;0,466665;0,466665;0,8222216666666666;behavior_29
Candidate_41;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height >= 50 AND source_distance <= 25;0,0;0,377145;0,377145;0,7923816666666667;behavior_41
Candidate_129;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height <= 100 AND source_distance <= 25;0,0;0,37;0,37;0,79;behavior_129
Candidate_19;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height >= 0 AND source_distance <= 25;0,0;0,37;0,37;0,79;behavior_19
Candidate_42;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height >= 50 AND source_distance <= 50;0,0;0,367145;0,367145;0,7890483333333332;behavior_42
Candidate_43;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height >= 50 AND source_distance <= 75;0,0;0,36380999999999997;0,36380999999999997;0,7879366666666666;behavior_43
Candidate_35;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height >= 50 AND source_distance >= 0;0,0;0,362145;0,362145;0,7873816666666666;behavior_35
Candidate_44;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height >= 50 AND source_distance <= 100;0,0;0,362145;0,362145;0,7873816666666666;behavior_44
Candidate_130;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height <= 100 AND source_distance <= 50;0,0;0,36;0,36;0,7866666666666666;behavior_130
Candidate_20;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height >= 0 AND source_distance <= 50;0,0;0,36;0,36;0,7866666666666666;behavior_20
Candidate_38;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height >= 50 AND source_distance >= 75;0,0;0,357145;0,357145;0,785715;behavior_38
Candidate_40;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height >= 50 AND source_distance <= 0;0,0;0,357145;0,357145;0,785715;behavior_40
Candidate_39;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height >= 50 AND source_distance >= 100;0,0;0,357145;0,357145;0,785715;behavior_39
Candidate_37;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height >= 50 AND source_distance >= 50;0,0;0,357145;0,357145;0,785715;behavior_37
Candidate_36;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height >= 50 AND source_distance >= 25;0,0;0,357145;0,357145;0,785715;behavior_36
Candidate_131;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height <= 100 AND source_distance <= 75;0,0;0,35666499999999995;0,35666499999999995;0,785555;behavior_131
Candidate_21;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height >= 0 AND source_distance <= 75;0,0;0,35666499999999995;0,35666499999999995;0,785555;behavior_21
Candidate_13;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height >= 0 AND source_distance >= 0;0,0;0,355;0,355;0,785;behavior_13
Candidate_123;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height <= 100 AND source_distance >= 0;0,0;0,355;0,355;0,785;behavior_123
Candidate_22;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height >= 0 AND source_distance <= 100;0,0;0,355;0,355;0,785;behavior_22
Candidate_132;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height <= 100 AND source_distance <= 100;0,0;0,355;0,355;0,785;behavior_132
Candidate_128;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height <= 100 AND source_distance <= 0;0,0;0,35;0,35;0,7833333333333333;behavior_128
Candidate_127;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height <= 100 AND source_distance >= 100;0,0;0,35;0,35;0,7833333333333333;behavior_127
Candidate_126;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height <= 100 AND source_distance >= 75;0,0;0,35;0,35;0,7833333333333333;behavior_126
Candidate_125;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height <= 100 AND source_distance >= 50;0,0;0,35;0,35;0,7833333333333333;behavior_125
Candidate_124;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height <= 100 AND source_distance >= 25;0,0;0,35;0,35;0,7833333333333333;behavior_124
