Scenario;Desired Given DNF;Shared Given DNF;Penality Given;Global Similarity Given;Final Similarity Given;Desired When DNF;Shared When DNF;Penality When;Global Similarity When;Final Similarity When;Desired Then DNF;Shared Then DNF;Penality Then;Global Similarity Then;Final Similarity Then;Scenario Similarity;Action
Candidate_16;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0,0;1,0;1,0;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0,0;1,0;1,0;1,0;behavior_16
Candidate_26;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36 AND a > 10;0,032258064516129115;1,0;0,9677419354838709;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0,0;1,0;1,0;0,989247311827957;behavior_26
Candidate_27;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36 AND b > 10;0,032258064516129115;1,0;0,9677419354838709;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0,0;1,0;1,0;0,989247311827957;behavior_27
Candidate_31;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36 AND a > 10 AND b > 10;0,0625;1,0;0,9375;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0,0;1,0;1,0;0,9791666666666666;behavior_31
Candidate_6;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7;0,31034482758620685;1,0;0,6896551724137931;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0,0;1,0;1,0;0,896551724137931;behavior_6
Candidate_7;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND wind_speed <= 36;0,31034482758620685;1,0;0,6896551724137931;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0,0;1,0;1,0;0,896551724137931;behavior_7
Candidate_10;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;satellite_count >= 7 AND wind_speed <= 36;0,31034482758620685;1,0;0,6896551724137931;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0,0;1,0;1,0;0,896551724137931;behavior_10
Candidate_18;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND b > 10;0,33333333333333337;1,0;0,6666666666666666;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0,0;1,0;1,0;0,8888888888888888;behavior_18
Candidate_23;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;satellite_count >= 7 AND wind_speed <= 36 AND b > 10;0,33333333333333337;1,0;0,6666666666666666;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0,0;1,0;1,0;0,8888888888888888;behavior_23
Candidate_22;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;satellite_count >= 7 AND wind_speed <= 36 AND a > 10;0,33333333333333337;1,0;0,6666666666666666;takeoff == 1;takeoff == 1;0,0;1,0;1,0;height > 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0,0;1,0;1,0;0,8888888888888888;behavior_22
