Scenario;Desired Given DNF;Shared Given DNF;Penality Given;Global Similarity Given;Final Similarity Given;Desired When DNF;Shared When DNF;Penality When;Global Similarity When;Final Similarity When;Desired Then DNF;Shared Then DNF;Penality Then;Global Similarity Then;Final Similarity Then;Scenario Similarity;Action
Candidate_1;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.0;1.0;1.0;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;1.0;behavior_1
Candidate_1585;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;battery <= 100 AND satellite_count >= 7 AND wind_speed <= 36;0.0;0.9666666666666667;0.9666666666666667;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9888888888888889;behavior_1585
Candidate_145;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;battery >= 0 AND satellite_count >= 7 AND wind_speed <= 36;0.0;0.9666666666666667;0.9666666666666667;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9888888888888889;behavior_145
Candidate_109;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 8 AND wind_speed <= 36;0.0;0.9583333333333334;0.9583333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9861111111111112;behavior_109
Candidate_37;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 8 AND wind_speed <= 36;0.0;0.9583333333333334;0.9583333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9861111111111112;behavior_37
Candidate_289;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;battery >= 25 AND satellite_count >= 7 AND wind_speed <= 36;0.0;0.9444433333333334;0.9444433333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9814811111111111;behavior_289
Candidate_1693;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;battery <= 100 AND satellite_count >= 8 AND wind_speed <= 36;0.0;0.9249999999999999;0.9249999999999999;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.975;behavior_1693
Candidate_181;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;battery >= 0 AND satellite_count >= 8 AND wind_speed <= 36;0.0;0.9249999999999999;0.9249999999999999;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.975;behavior_181
Candidate_1621;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;battery <= 100 AND satellite_count >= 8 AND wind_speed <= 36;0.0;0.9249999999999999;0.9249999999999999;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.975;behavior_1621
Candidate_253;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;battery >= 0 AND satellite_count >= 8 AND wind_speed <= 36;0.0;0.9249999999999999;0.9249999999999999;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.975;behavior_253
