similarity_result,diagnosed_name,diagnosed_given,diagnosed_then,candidate_name,candidate_given,candidate_then,elapsed_time,config
0.7095319841269841,diagnosed_h_minus_25_vib_minus_25,h < 75 AND vibration >= 38,delta_dt >= 10 AND h >= 100,cand_hover_mode_flying,h < 70 AND vibration <= 80,delta_dt >= 10 AND h <= 80 AND delta_flight_time < 60,0.07655940006952733,"{'parameter_weights': {'parameter_1': 1.0, 'parameter_n': 1.0}, 'tversky_weights': {'alpha': 0.9, 'beta': 0.1}, 'conditional_weights': {'given': 1.0, 'when': 1.0, 'then': 1.0}}"
0.8012919841269842,diagnosed_h_minus_50_vib_minus_50,h < 50 AND vibration >= 13,delta_dt >= 10 AND h >= 100,cand_low_speed_flying,h < 100 AND vibration >= 50 AND wind_speed > 60,delta_dt >= 10 AND h >= 90,0.07418049999978393,"{'parameter_weights': {'parameter_1': 1.0, 'parameter_n': 1.0}, 'tversky_weights': {'alpha': 0.9, 'beta': 0.1}, 'conditional_weights': {'given': 1.0, 'when': 1.0, 'then': 1.0}}"
0.8271153174603173,diagnosed_h_minus_50_vib_minus_50,h < 50 AND vibration >= 13,delta_dt >= 10 AND h >= 100,cand_limited_satellite_flying,h > 10 AND vibration >= 30,delta_dt >= 10 AND h >= 100 AND satellite_count >= 7,0.07963659998495132,"{'parameter_weights': {'parameter_1': 1.0, 'parameter_n': 1.0}, 'tversky_weights': {'alpha': 0.9, 'beta': 0.1}, 'conditional_weights': {'given': 1.0, 'when': 1.0, 'then': 1.0}}"
0.7141503174603173,diagnosed_h_minus_50_vib_minus_50,h < 50 AND vibration >= 13,delta_dt >= 10 AND h >= 100,cand_hover_mode_flying,h < 70 AND vibration <= 80,delta_dt >= 10 AND h <= 80 AND delta_flight_time < 60,0.059638299979269505,"{'parameter_weights': {'parameter_1': 1.0, 'parameter_n': 1.0}, 'tversky_weights': {'alpha': 0.9, 'beta': 0.1}, 'conditional_weights': {'given': 1.0, 'when': 1.0, 'then': 1.0}}"
0.8177772222222223,diagnosed_baseline_add_p1,h < 100 AND vibration >= 63 AND p1 > 10,delta_dt >= 10 AND h >= 100,cand_low_speed_flying,h < 100 AND vibration >= 50 AND wind_speed > 60,delta_dt >= 10 AND h >= 90,0.06274810002651066,"{'parameter_weights': {'parameter_1': 1.0, 'parameter_n': 1.0}, 'tversky_weights': {'alpha': 0.9, 'beta': 0.1}, 'conditional_weights': {'given': 1.0, 'when': 1.0, 'then': 1.0}}"
0.7332187082649151,diagnosed_baseline_add_p1,h < 100 AND vibration >= 63 AND p1 > 10,delta_dt >= 10 AND h >= 100,cand_limited_satellite_flying,h > 10 AND vibration >= 30,delta_dt >= 10 AND h >= 100 AND satellite_count >= 7,0.07500549999531358,"{'parameter_weights': {'parameter_1': 1.0, 'parameter_n': 1.0}, 'tversky_weights': {'alpha': 0.9, 'beta': 0.1}, 'conditional_weights': {'given': 1.0, 'when': 1.0, 'then': 1.0}}"
0.5251737082649152,diagnosed_baseline_add_p1,h < 100 AND vibration >= 63 AND p1 > 10,delta_dt >= 10 AND h >= 100,cand_hover_mode_flying,h < 70 AND vibration <= 80,delta_dt >= 10 AND h <= 80 AND delta_flight_time < 60,0.06181730004027486,"{'parameter_weights': {'parameter_1': 1.0, 'parameter_n': 1.0}, 'tversky_weights': {'alpha': 0.9, 'beta': 0.1}, 'conditional_weights': {'given': 1.0, 'when': 1.0, 'then': 1.0}}"
0.766495170940171,diagnosed_baseline_add_p1_p2,h < 100 AND vibration >= 63 AND p1 > 10 AND p2 > 10,delta_dt >= 10 AND h >= 100,cand_low_speed_flying,h < 100 AND vibration >= 50 AND wind_speed > 60,delta_dt >= 10 AND h >= 90,0.09928630001377314,"{'parameter_weights': {'parameter_1': 1.0, 'parameter_n': 1.0}, 'tversky_weights': {'alpha': 0.9, 'beta': 0.1}, 'conditional_weights': {'given': 1.0, 'when': 1.0, 'then': 1.0}}"
0.6787722472848788,diagnosed_baseline_add_p1_p2,h < 100 AND vibration >= 63 AND p1 > 10 AND p2 > 10,delta_dt >= 10 AND h >= 100,cand_limited_satellite_flying,h > 10 AND vibration >= 30,delta_dt >= 10 AND h >= 100 AND satellite_count >= 7,0.06410229997709394,"{'parameter_weights': {'parameter_1': 1.0, 'parameter_n': 1.0}, 'tversky_weights': {'alpha': 0.9, 'beta': 0.1}, 'conditional_weights': {'given': 1.0, 'when': 1.0, 'then': 1.0}}"
0.48412698412698413,diagnosed_baseline_add_p1_p2,h < 100 AND vibration >= 63 AND p1 > 10 AND p2 > 10,delta_dt >= 10 AND h >= 100,cand_hover_mode_flying,h < 70 AND vibration <= 80,delta_dt >= 10 AND h <= 80 AND delta_flight_time < 60,0.06431700009852648,"{'parameter_weights': {'parameter_1': 1.0, 'parameter_n': 1.0}, 'tversky_weights': {'alpha': 0.9, 'beta': 0.1}, 'conditional_weights': {'given': 1.0, 'when': 1.0, 'then': 1.0}}"
