time,action,target_distance,origin_distance,velocity.north,velocity.east,velocity.down,battery,current_lat,current_lon,current_alt,origin_lat,origin_lon,origin_alt,target_lat,target_lon,target_alt,onWater,bad_connection,is_armed,obstacle,goals
10:38:01,,,,,,,,,,,-3.7864652,-38.5530569,0.15200001001358032,-3.7867,-38.551971,10,False,False,False,False,
10:38:02,,123.25207161092705,0.07862325763509809,0.0,-0.029999999329447746,-0.04999999701976776,,-3.7864658999999996,-38.5530568,0.2,-3.7864652,-38.5530569,0.15200001001358032,-3.7867,-38.551971,10,False,False,False,False,
10:38:03,,123.24737665952662,0.1006886110249253,0.0,-0.029999999329447746,-0.04999999701976776,100.0,-3.7864660999999997,-38.5530568,0.2,-3.7864652,-38.5530569,0.15200001001358032,-3.7867,-38.551971,10,False,False,False,False,
10:38:04,,123.29310461456173,0.09497944307075981,0.0,-0.029999999329447746,-0.04999999701976776,100.0,-3.786466,-38.5530573,0.1,-3.7864652,-38.5530569,0.15200001001358032,-3.7867,-38.551971,10,False,False,False,False,
10:38:05,,123.32711065076252,0.15439138594064794,0.0,-0.029999999329447746,-0.04999999701976776,100.0,-3.7864665,-38.553057599999995,0.1,-3.7864652,-38.5530569,0.15200001001358032,-3.7867,-38.551971,10,False,False,False,False,
10:38:06,Arm,123.30776096150014,0.13430716569080922,0.0,-0.029999999329447746,-0.04999999701976776,100.0,-3.7864663,-38.5530574,-0.0,-3.7864652,-38.5530569,0.15200001001358032,-3.7867,-38.551971,10,False,False,False,False,
10:38:07,TakeOff,123.33179655174189,0.13563333996490004,0.0,-0.029999999329447746,-0.04999999701976776,100.0,-3.7864660999999997,-38.5530577,-0.0,-3.7864652,-38.5530569,0.15200001001358032,-3.7867,-38.551971,10,False,False,True,False,
10:38:08,TakeOff,123.34967791043435,0.11805576013514908,0.0,-0.019999999552965164,-0.04999999701976776,99.0,-3.7864657999999998,-38.553057599999995,-0.0,-3.7864652,-38.5530569,0.15200001001358032,-3.7867,-38.551971,10,False,False,True,False,
10:38:09,TakeOff,123.32798731066157,0.10242193749654002,0.0,-0.019999999552965164,-0.04999999701976776,99.0,-3.7864658999999996,-38.553057599999995,-0.0,-3.7864652,-38.5530569,0.15200001001358032,-3.7867,-38.551971,10,False,False,True,False,
10:38:10,TakeOff,123.32626004782085,0.20883369124514026,0.0,-0.019999999552965164,-0.04999999701976776,96.0,-3.786467,-38.5530578,1.2,-3.7864652,-38.5530569,0.15200001001358032,-3.7867,-38.551971,10,False,False,True,False,
10:38:11,TakeOff,123.33944474325577,0.20401973954369784,0.0,-0.019999999552965164,-0.04999999701976776,96.0,-3.7864666,-38.553057599999995,3.6,-3.7864652,-38.5530569,0.15200001001358032,-3.7867,-38.551971,10,False,False,True,False,
10:38:12,TakeOff,123.27756751219395,0.11338750948721255,-0.009999999776482582,-0.019999999552965164,-0.04999999701976776,93.0,-3.786466,-38.5530572,6.4,-3.7864652,-38.5530569,0.15200001001358032,-3.7867,-38.551971,10,False,False,True,False,
10:38:13,TakeOff,123.29310461456173,0.09497944307075981,-0.009999999776482582,-0.019999999552965164,-0.04999999701976776,93.0,-3.7864665,-38.5530569,8.2,-3.7864652,-38.5530569,0.15200001001358032,-3.7867,-38.551971,10,False,False,True,False,
10:38:14,TakeOff,123.24182134935839,0.17791188263640995,-0.009999999776482582,-0.019999999552965164,-0.04999999701976776,90.0,-3.7864666,-38.5530566,9.0,-3.7864652,-38.5530569,0.15200001001358032,-3.7867,-38.551971,10,False,False,True,False,
10:38:15,TakeOff,123.27287954984988,0.1352664941943586,-0.009999999776482582,-0.019999999552965164,-0.04999999701976776,90.0,-3.7864663999999997,-38.5530574,9.4,-3.7864652,-38.5530569,0.15200001001358032,-3.7867,-38.551971,10,False,False,True,False,
10:38:16,TakeOff,123.36199169683415,0.165139963403285,-0.009999999776482582,-0.019999999552965164,-0.04999999701976776,86.0,-3.7864663999999997,-38.5530577,9.6,-3.7864652,-38.5530569,0.15200001001358032,-3.7867,-38.551971,10,False,False,True,False,
10:38:17,Flying,123.0735959743917,0.2992249558036725,-0.009999999776482582,-0.019999999552965164,-0.04999999701976776,86.0,-3.7864690999999997,-38.5530489,9.7,-3.7864652,-38.5530569,0.15200001001358032,-3.7867,-38.551971,10,False,False,True,False,
10:38:18,Flying,120.2944577071526,2.99222750854053,-0.009999999776482582,-0.019999999552965164,-0.04999999701976776,83.0,-3.7864755,-38.553014499999996,9.8,-3.7864652,-38.5530569,0.15200001001358032,-3.7867,-38.551971,10,False,False,True,False,
10:38:19,Flying,115.66243371396698,7.617665367760703,-0.019999999552965164,-0.009999999776482582,-0.04999999701976776,83.0,-3.7864845999999996,-38.552971899999996,9.8,-3.7864652,-38.5530569,0.15200001001358032,-3.7867,-38.551971,10,False,False,True,False,
10:38:20,Flying,111.06591690443743,12.213873707785691,-0.019999999552965164,-0.009999999776482582,-0.04999999701976776,80.0,-3.7864934999999997,-38.552931,9.7,-3.7864652,-38.5530569,0.15200001001358032,-3.7867,-38.551971,10,False,False,True,False,
10:38:21,Flying,106.33369071089716,16.946351110690873,-0.019999999552965164,-0.009999999776482582,-0.05999999865889549,80.0,-3.7865032,-38.552887999999996,9.7,-3.7864652,-38.5530569,0.15200001001358032,-3.7867,-38.551971,10,False,False,True,False,
10:38:22,Flying,101.58680558772953,21.693168689922093,-0.019999999552965164,-0.009999999776482582,-0.05999999865889549,76.0,-3.7865127,-38.5528444,9.8,-3.7864652,-38.5530569,0.15200001001358032,-3.7867,-38.551971,10,False,False,True,False,
10:38:23,Flying,96.71358964039486,26.56639842878822,-0.019999999552965164,-0.009999999776482582,-0.05999999865889549,76.0,-3.7865216999999998,-38.5528,9.8,-3.7864652,-38.5530569,0.15200001001358032,-3.7867,-38.551971,10,False,False,True,False,
10:38:24,Flying,91.90482309552779,31.374707433005877,-0.019999999552965164,-0.009999999776482582,-0.05999999865889549,73.0,-3.7865309999999996,-38.5527563,9.7,-3.7864652,-38.5530569,0.15200001001358032,-3.7867,-38.551971,10,False,False,True,False,
10:38:25,Flying,87.06179467958813,36.21784577257977,-0.029999999329447746,-0.009999999776482582,-0.05999999865889549,73.0,-3.7865409,-38.5527114,9.7,-3.7864652,-38.5530569,0.15200001001358032,-3.7867,-38.551971,10,False,False,True,False,
10:38:26,Flying,82.16922182895735,41.11039231101931,-0.029999999329447746,-0.009999999776482582,-0.05999999865889549,70.0,-3.7865503,-38.552669,9.8,-3.7864652,-38.5530569,0.15200001001358032,-3.7867,-38.551971,10,False,False,True,False,
10:38:27,Flying,77.39596975080484,45.88373647887692,-0.029999999329447746,-0.009999999776482582,-0.05999999865889549,70.0,-3.7865599999999997,-38.5526221,9.8,-3.7864652,-38.5530569,0.15200001001358032,-3.7867,-38.551971,10,False,False,True,False,
10:38:28,Flying,72.50424697299819,50.7752346370741,-0.029999999329447746,-0.009999999776482582,-0.05999999865889549,66.0,-3.7865696,-38.5525787,9.7,-3.7864652,-38.5530569,0.15200001001358032,-3.7867,-38.551971,10,False,False,True,False,
10:38:29,Flying,67.63719569790712,55.64240365453196,-0.03999999910593033,-0.009999999776482582,-0.05999999865889549,66.0,-3.7865796,-38.552534099999995,9.7,-3.7864652,-38.5530569,0.15200001001358032,-3.7867,-38.551971,10,False,False,True,False,
10:38:30,Flying,62.77483613731572,60.504824967425336,-0.03999999910593033,-0.009999999776482582,-0.05999999865889549,63.0,-3.7865884,-38.552490999999996,9.8,-3.7864652,-38.5530569,0.15200001001358032,-3.7867,-38.551971,10,False,False,True,False,
10:38:31,Flying,57.95435615196047,65.3252241093213,-0.03999999910593033,-0.009999999776482582,-0.05999999865889549,63.0,-3.7865979999999997,-38.5524473,9.8,-3.7864652,-38.5530569,0.15200001001358032,-3.7867,-38.551971,10,False,False,True,False,
10:38:32,Flying,53.04860728370949,70.23100061406483,-0.03999999910593033,-0.009999999776482582,-0.05999999865889549,60.0,-3.7866071999999997,-38.5524031,9.8,-3.7864652,-38.5530569,0.15200001001358032,-3.7867,-38.551971,10,False,False,True,False,
10:38:33,Flying,48.21344308838612,75.06599600100625,-0.03999999910593033,-0.009999999776482582,-0.05999999865889549,60.0,-3.7866166,-38.5523588,9.8,-3.7864652,-38.5530569,0.15200001001358032,-3.7867,-38.551971,10,False,False,True,False,
10:38:34,Flying,43.334058239661175,79.94536290500788,-0.04999999701976776,-0.009999999776482582,-0.05999999865889549,56.0,-3.7866263,-38.5523141,9.9,-3.7864652,-38.5530569,0.15200001001358032,-3.7867,-38.551971,10,False,False,True,False,
10:38:35,Flying,38.42829810489849,84.85113852883853,-0.04999999701976776,-0.009999999776482582,-0.05999999865889549,56.0,-3.7866359,-38.5522712,9.9,-3.7864652,-38.5530569,0.15200001001358032,-3.7867,-38.551971,10,False,False,True,False,
10:38:36,Flying,33.65505659064534,89.62445055969874,-0.04999999701976776,-0.009999999776482582,-0.05999999865889549,53.0,-3.7866451999999997,-38.5522269,9.8,-3.7864652,-38.5530569,0.15200001001358032,-3.7867,-38.551971,10,False,False,True,False,
