time,action,target_distance,origin_distance,velocity.north,velocity.east,velocity.down,battery,current_lat,current_lon,current_alt,origin_lat,origin_lon,origin_alt,target_lat,target_lon,target_alt,onWater,bad_connection,is_armed,obstacle,goals,scenario_name
03:04:09,,,,,,,,,,,-3.7864655,-38.5530573,-0.19300000369548798,-3.7867,-38.551971,5,,,False,False,,
03:04:10,,123.306296887995,0.04447797063441225,0.029999999329447746,-0.009999999776482582,0.0,100.0,-3.7864658999999996,-38.5530573,-0.1,-3.7864655,-38.5530573,-0.19300000369548798,-3.7867,-38.551971,5,,False,False,False,,
03:04:11,,123.28841323148498,0.07862325768344182,0.029999999329447746,-0.009999999776482582,0.0,100.0,-3.7864662,-38.5530572,-0.2,-3.7864655,-38.5530573,-0.19300000369548798,-3.7867,-38.551971,5,,False,False,False,,
03:04:12,,123.23799825958842,0.12426547911151532,0.029999999329447746,-0.009999999776482582,-0.009999999776482582,100.0,-3.7864665,-38.5530568,-0.2,-3.7864655,-38.5530573,-0.19300000369548798,-3.7867,-38.551971,5,,False,False,False,,
03:04:13,,123.18142466703324,0.16513996337745274,0.029999999329447746,-0.009999999776482582,-0.009999999776482582,100.0,-3.7864666,-38.5530562,-0.1,-3.7864655,-38.5530573,-0.19300000369548798,-3.7867,-38.551971,5,,False,False,False,,
03:04:14,,123.21249413023388,0.11805576073732102,0.029999999329447746,-0.009999999776482582,-0.009999999776482582,100.0,-3.7864662,-38.5530565,0.0,-3.7864655,-38.5530573,-0.19300000369548798,-3.7867,-38.551971,5,,False,False,False,,Arm
03:04:15,,123.26056882907451,0.07113888085677807,0.029999999329447746,-0.009999999776482582,-0.009999999776482582,100.0,-3.7864658999999996,-38.553056999999995,-0.0,-3.7864655,-38.5530573,-0.19300000369548798,-3.7867,-38.551971,5,,False,True,False,,TakeOff
03:04:16,,123.27141404590134,0.06479979236894605,0.029999999329447746,-0.009999999776482582,-0.009999999776482582,100.0,-3.786466,-38.553056999999995,0.0,-3.7864655,-38.5530573,-0.19300000369548798,-3.7867,-38.551971,5,,False,True,False,,TakeOff
03:04:17,,123.28138334414344,0.11174710565289335,0.029999999329447746,-0.009999999776482582,-0.009999999776482582,98.0,-3.7864665,-38.5530572,0.0,-3.7864655,-38.5530573,-0.19300000369548798,-3.7867,-38.551971,5,,False,True,False,,TakeOff
03:04:18,,123.19549845925997,0.12410265215265451,0.029999999329447746,-0.009999999776482582,-0.009999999776482582,98.0,-3.786466,-38.5530563,0.9,-3.7864655,-38.5530573,-0.19300000369548798,-3.7867,-38.551971,5,,False,True,False,,TakeOff
03:04:19,,123.18791948754532,0.1336061574415353,0.029999999329447746,-0.009999999776482582,-0.009999999776482582,95.0,-3.7864652999999997,-38.553056,2.8,-3.7864655,-38.5530573,-0.19300000369548798,-3.7867,-38.551971,5,,False,True,False,,TakeOff
03:04:20,,123.15538889914534,0.16679934552970568,0.029999999329447746,-0.009999999776482582,-0.009999999776482582,95.0,-3.7864652999999997,-38.5530559,3.6,-3.7864655,-38.5530573,-0.19300000369548798,-3.7867,-38.551971,5,,False,True,False,,TakeOff
03:04:21,,123.19405608722737,0.12255290888677108,0.029999999329447746,-0.009999999776482582,-0.009999999776482582,92.0,-3.7864657999999998,-38.5530562,4.0,-3.7864655,-38.5530573,-0.19300000369548798,-3.7867,-38.551971,5,,False,True,False,,TakeOff
03:04:22,,123.22803344335443,0.09551528278546428,0.029999999329447746,-0.009999999776482582,-0.009999999776482582,92.0,-3.786466,-38.5530566,4.3,-3.7864655,-38.5530573,-0.19300000369548798,-3.7867,-38.551971,5,,False,True,False,,TakeOff
03:04:23,,123.18700274861881,0.12989943120157563,0.029999999329447746,-0.009999999776482582,-0.009999999776482582,88.0,-3.7864657999999998,-38.5530562,4.5,-3.7864655,-38.5530573,-0.19300000369548798,-3.7867,-38.551971,5,,False,True,False,,TakeOff
