time,action,target_distance,origin_distance,velocity.north,velocity.east,velocity.down,battery,current_lat,current_lon,current_alt,origin_lat,origin_lon,origin_alt,target_lat,target_lon,target_alt,onWater,bad_connection,is_armed,goals,scenario_name
23:55:15,,,,,,,,,,,-3.7864662,-38.5530568,-0.05400000140070915,-3.7867,-38.551971,5,,,False,,
23:55:16,,123.26996557238854,0.06763324721034589,0.019999999552965164,0.0,0.04999999701976776,,-3.7864655999999997,-38.5530569,-0.0,-3.7864662,-38.5530568,-0.05400000140070915,-3.7867,-38.551971,5,,,False,,
23:55:17,,123.24592588752326,0.05669375482012228,0.029999999329447746,0.0,0.04999999701976776,,-3.7864657,-38.5530567,-0.1,-3.7864662,-38.5530568,-0.05400000140070915,-3.7867,-38.551971,5,,False,False,,
23:55:18,,123.23887852740403,0.024853095900958303,0.029999999329447746,0.0,0.04999999701976776,100.0,-3.786466,-38.5530568,-0.1,-3.7864662,-38.5530568,-0.05400000140070915,-3.7867,-38.551971,5,,False,False,,
23:55:19,,123.3558324536506,0.11150799724243526,0.029999999329447746,0.0,0.04999999701976776,100.0,-3.786466,-38.5530578,-0.1,-3.7864662,-38.5530568,-0.05400000140070915,-3.7867,-38.551971,5,,False,False,,
23:55:20,,123.34352806787862,0.10473646780548887,0.029999999329447746,-0.009999999776482582,0.04999999701976776,100.0,-3.7864657,-38.5530577,-0.0,-3.7864662,-38.5530568,-0.05400000140070915,-3.7867,-38.551971,5,,False,False,,Arm
23:55:21,,123.3180458694833,0.10483681166984736,0.029999999329447746,-0.009999999776482582,0.04999999701976776,100.0,-3.7864654,-38.5530572,-0.0,-3.7864662,-38.5530568,-0.05400000140070915,-3.7867,-38.551971,5,,False,True,,TakeOff
23:55:22,,123.24827692442847,0.06763324721034589,0.029999999329447746,-0.009999999776482582,0.04999999701976776,99.0,-3.7864655999999997,-38.5530567,0.0,-3.7864662,-38.5530568,-0.05400000140070915,-3.7867,-38.551971,5,,False,True,,TakeOff
23:55:23,,123.21484078766183,0.035093849590871626,0.029999999329447746,-0.009999999776482582,0.04999999701976776,99.0,-3.7864660999999997,-38.5530565,0.1,-3.7864662,-38.5530568,-0.05400000140070915,-3.7867,-38.551971,5,,False,True,,TakeOff
23:55:24,,123.37461873069489,0.14941714371398468,0.029999999329447746,-0.009999999776482582,0.03999999910593033,96.0,-3.7864651,-38.5530581,0.9,-3.7864662,-38.5530568,-0.05400000140070915,-3.7867,-38.551971,5,,False,True,,TakeOff
23:55:25,,123.59948175223606,0.37317990854628275,0.029999999329447746,-0.009999999776482582,0.03999999910593033,96.0,-3.7864646,-38.5530597,2.6,-3.7864662,-38.5530568,-0.05400000140070915,-3.7867,-38.551971,5,,False,True,,TakeOff
23:55:26,,123.39395589761824,0.1601253311348848,0.029999999329447746,-0.009999999776482582,0.03999999910593033,93.0,-3.7864652999999997,-38.5530578,3.4,-3.7864662,-38.5530568,-0.05400000140070915,-3.7867,-38.551971,5,,False,True,,TakeOff
23:55:27,,123.36234829151606,0.16962999900464762,0.029999999329447746,-0.009999999776482582,0.03999999910593033,93.0,-3.7864651,-38.553057599999995,3.9,-3.7864662,-38.5530568,-0.05400000140070915,-3.7867,-38.551971,5,,False,True,,TakeOff
23:55:28,,123.37136868876084,0.12652414947224014,0.029999999329447746,-0.009999999776482582,0.03999999910593033,90.0,-3.7864658999999996,-38.5530577,4.2,-3.7864662,-38.5530568,-0.05400000140070915,-3.7867,-38.551971,5,,False,True,,TakeOff
23:55:29,,123.33124248838334,0.120194979251977,0.029999999329447746,-0.009999999776482582,0.03999999910593033,90.0,-3.7864652,-38.5530573,4.4,-3.7864662,-38.5530568,-0.05400000140070915,-3.7867,-38.551971,5,,False,True,,TakeOff
23:55:30,,123.33217625309094,0.16526236278979756,0.029999999329447746,-0.009999999776482582,0.03999999910593033,87.0,-3.7864647999999996,-38.5530573,4.5,-3.7864662,-38.5530568,-0.05400000140070915,-3.7867,-38.551971,5,,False,True,,TakeOff
23:55:31,,122.9545682656235,0.2997772327806286,0.029999999329447746,-0.009999999776482582,0.03999999910593033,87.0,-3.7864668,-38.5530519,4.5,-3.7864662,-38.5530568,-0.05400000140070915,-3.7867,-38.551971,5,,False,True,,Flying
23:55:32,,120.24576007296929,2.999297430729268,0.03999999910593033,-0.009999999776482582,0.03999999910593033,83.0,-3.7864731999999997,-38.553023599999996,4.5,-3.7864662,-38.5530568,-0.05400000140070915,-3.7867,-38.551971,5,,False,True,,Flying
23:55:33,,115.40685640706852,7.838569173691561,0.03999999910593033,-0.009999999776482582,0.029999999329447746,83.0,-3.7864820999999997,-38.5529802,4.5,-3.7864662,-38.5530568,-0.05400000140070915,-3.7867,-38.551971,5,,False,True,,Flying
23:55:34,,110.7575588563817,12.487559113180286,0.03999999910593033,-0.009999999776482582,0.029999999329447746,80.0,-3.7864913999999996,-38.5529383,4.6,-3.7864662,-38.5530568,-0.05400000140070915,-3.7867,-38.551971,5,,False,True,,Flying
23:55:35,,106.1191148141237,17.12591924589087,0.03999999910593033,-0.009999999776482582,0.029999999329447746,80.0,-3.7865007999999998,-38.5528961,4.5,-3.7864662,-38.5530568,-0.05400000140070915,-3.7867,-38.551971,5,,False,True,,Flying
23:55:36,,101.21569459756668,22.02933895290803,0.03999999910593033,-0.009999999776482582,0.029999999329447746,77.0,-3.7865099,-38.5528531,4.5,-3.7864662,-38.5530568,-0.05400000140070915,-3.7867,-38.551971,5,,False,True,,Flying
