desired_scenario;cadidate_scenario;Desired Given DNF;Shared Given DNF;Penality Given;Global Similarity Given;Final Similarity Given;Desired When DNF;Shared When DNF;Penality When;Global Similarity When;Final Similarity When;Desired Then DNF;Shared Then DNF;Penality Then;Global Similarity Then;Final Similarity Then;Scenario Similarity;Action
desired_1;Candidate_80;battery >= 10;battery >= 10 AND wind_speed <= 36 AND b > 10;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9444444444444445;behavior_80
desired_1;Candidate_78;battery >= 10;battery >= 10 AND wind_speed <= 36 AND vibration <= 50;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9444444444444445;behavior_78
desired_1;Candidate_76;battery >= 10;battery >= 10 AND wind_speed <= 36 AND visibility >= 10;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9444444444444445;behavior_76
desired_1;Candidate_69;battery >= 10;battery >= 10 AND satellite_count >= 7 AND temperature <= 25;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9444444444444445;behavior_69
desired_1;Candidate_70;battery >= 10;battery >= 10 AND satellite_count >= 7 AND vibration <= 50;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9444444444444445;behavior_70
desired_1;Candidate_71;battery >= 10;battery >= 10 AND satellite_count >= 7 AND a > 10;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9444444444444445;behavior_71
desired_1;Candidate_72;battery >= 10;battery >= 10 AND satellite_count >= 7 AND b > 10;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9444444444444445;behavior_72
desired_1;Candidate_90;battery >= 10;battery >= 10 AND visibility >= 10 AND e > 10;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9444444444444445;behavior_90
desired_1;Candidate_73;battery >= 10;battery >= 10 AND satellite_count >= 7 AND c > 10;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9444444444444445;behavior_73
desired_1;Candidate_74;battery >= 10;battery >= 10 AND satellite_count >= 7 AND d > 10;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9444444444444445;behavior_74
desired_1;Candidate_75;battery >= 10;battery >= 10 AND satellite_count >= 7 AND e > 10;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9444444444444445;behavior_75
desired_1;Candidate_89;battery >= 10;battery >= 10 AND visibility >= 10 AND d > 10;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9444444444444445;behavior_89
desired_1;Candidate_96;battery >= 10;battery >= 10 AND temperature <= 25 AND e > 10;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9444444444444445;behavior_96
desired_1;Candidate_91;battery >= 10;battery >= 10 AND temperature <= 25 AND vibration <= 50;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9444444444444445;behavior_91
desired_1;Candidate_92;battery >= 10;battery >= 10 AND temperature <= 25 AND a > 10;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9444444444444445;behavior_92
desired_1;Candidate_111;battery >= 10;battery >= 10 AND d > 10 AND e > 10;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9444444444444445;behavior_111
desired_1;Candidate_110;battery >= 10;battery >= 10 AND c > 10 AND e > 10;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9444444444444445;behavior_110
desired_1;Candidate_109;battery >= 10;battery >= 10 AND c > 10 AND d > 10;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9444444444444445;behavior_109
desired_1;Candidate_108;battery >= 10;battery >= 10 AND b > 10 AND e > 10;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9444444444444445;behavior_108
desired_1;Candidate_107;battery >= 10;battery >= 10 AND b > 10 AND d > 10;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9444444444444445;behavior_107
desired_1;Candidate_106;battery >= 10;battery >= 10 AND b > 10 AND c > 10;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9444444444444445;behavior_106
desired_1;Candidate_105;battery >= 10;battery >= 10 AND a > 10 AND e > 10;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9444444444444445;behavior_105
desired_1;Candidate_104;battery >= 10;battery >= 10 AND a > 10 AND d > 10;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9444444444444445;behavior_104
desired_1;Candidate_103;battery >= 10;battery >= 10 AND a > 10 AND c > 10;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9444444444444445;behavior_103
desired_1;Candidate_102;battery >= 10;battery >= 10 AND a > 10 AND b > 10;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9444444444444445;behavior_102
desired_1;Candidate_101;battery >= 10;battery >= 10 AND vibration <= 50 AND e > 10;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9444444444444445;behavior_101
desired_1;Candidate_100;battery >= 10;battery >= 10 AND vibration <= 50 AND d > 10;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9444444444444445;behavior_100
desired_1;Candidate_99;battery >= 10;battery >= 10 AND vibration <= 50 AND c > 10;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9444444444444445;behavior_99
desired_1;Candidate_98;battery >= 10;battery >= 10 AND vibration <= 50 AND b > 10;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9444444444444445;behavior_98
desired_1;Candidate_97;battery >= 10;battery >= 10 AND vibration <= 50 AND a > 10;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9444444444444445;behavior_97
